yield;yield-1;prcp10;prcp11;prcp12;prcp01;prcp02;avgtemp;maxtemp;mintemp
902723;853911;23.4;88.7;340.1;369.2;191.2;26.9;28;25.4
1035288;902723;232.1;218.8;360.8;248.9;304.8;26.6;27.3;27.4
994757;1035288;147.8;183.3;287.3;302.3;248.1;26.8;28.1;25.9
892787;994757;147.8;169.5;312.4;384.7;335.9;26.9;27.9;26.4
1125373;892787;183.6;161.4;377;332;318.4;26.9;27.7;26
1040046;1125373;5.2;32.8;397;342.1;317.3;26.9;27.6;25.3
1043423;1040046;295.4;288.5;283.7;311.5;237.1;26.5;27.5;26
997647;1043423;270.4;186.4;475;311.9;276.1;26.4;26.8;25.9
1030647;997647;223.5;236.1;340.7;371.7;307.3;26.7;27.6;25.6
1127451;1030647;236.6;399.5;171.9;295.2;303.8;26.9;27.6;26.1
1215272;1127451;10.2;229.2;379.5;353;240.4;27.3;28.4;26.4
1123064;1215272;350.9;256.3;360.2;305.9;325.1;26.8;27.7;26.2
1104683;1123064;146.2;183.9;259.7;220.2;223.9;27;27.7;26.2
1120766;1104683;68.7;107.3;451.1;390.3;208;26.9;27.5;26.1
1206554;1120766;55.9;333.2;325.9;429.1;252.5;26.9;27.7;25.9
1280593;1206554;428.6;308.3;345.7;346;191.6;27;27.4;26.4
1343127;1280593;72.7;303.4;396.3;329;317.4;27.1;28;26.1
1316632;1343127;29.7;190.6;123.3;383.8;344;27.1;29;25.3
1089544;1316632;126.9;508.8;336.1;253.4;329.3;27.1;28;26.6
1239962;1089544;333.4;287.3;366.6;214.9;177.4;27.3;28.1;26.8
970862;1239962;46.8;134;292.7;263;302.5;27.2;28.7;26.7
682879;970862;321;280.1;400.7;286.8;288.2;27.2;28.3;26.1
658281;682879;339.5;285.5;436.1;321.4;244.8;27.2;28.3;26.1
704243;658281;497.6;420.1;315;360.6;233;27;28.2;26.2
726688;704243;174.8;191.1;334.6;304.3;270.4;26.9;27.7;26.2
835653;726688;126.9;215.3;310.7;382.9;251.1;26.8;28.3;25.4
770422;835653;149.3;291.2;373.1;273.3;250.2;26.8;27.8;25.1
901179;770422;59.1;362.5;375.8;345.9;222.8;26.9;27.9;25.1
1048711;901179;270.8;221.4;366.7;331.9;267.5;27;27.5;26.5
1067301;1048711;139.1;166.8;274;241.8;270.3;26.9;28.1;25.7
1340919;1067301;102.7;200.2;374.1;288.2;323.1;27;28.1;26.3
1302724;1340919;246.9;221.7;394.1;397.5;260.9;27.2;28.4;25.9
1101538;1302724;89;146.2;302.7;350.2;248.2;27.5;28.7;26.4
1017003;1101538;488.2;195.9;418.1;238;180.8;27.3;27.8;26.9
1051872;1017003;114.2;336.9;385.5;392.9;218.5;27.1;28.2;26
1241799;1051872;86.5;133.9;358.6;573.4;197.6;27.4;28.6;25.9
1236824;1241799;184.3;150.6;276.8;260.9;243.8;27.3;28.4;26.7
1260632;1236824;81.2;165.2;537;315;271.9;27.3;28.7;26.6
1207333;1260632;23.4;121.8;257.1;243.5;410.1;27.4;28.7;26.1
1047414;1207333;384.6;273.8;377.3;307.8;276.4;27.3;28.2;26.1
1023514;1047414;198.2;476.3;361.9;284.6;279.6;27.3;28.4;26.4
1032532;1023514;112.9;296.5;301.8;323.4;267.3;27;28;26
1063965;1032532;133.7;237.1;345.6;350.1;290.9;26.8;27.1;26.2
